_ID_;_MAIN_CATEGORY_;_NAME_;_MODEL_;_SKU_;_EAN_;_JAN_;_ISBN_;_MPN_;_UPC_;_MANUFACTURER_;_LOCATION_;_PRICE_;_QUANTITY_;_LENGTH_;_SEO_KEYWORD_;_DISCOUNT_;_SPECIAL_;_RELATED_ISBN_;_URL_
122;Hyundai|Matrix;"Бампер передний Hyundai, 2003 (22783474)";22783474;;;;;;;"Бампер передний";;75.0000;1;2003;bamper-perednij-hyundai-2003-22783474;;;;https://d4.by/hyundai/matrix/bamper-perednij-hyundai-2003-22783474
123;"Mercedes|A W168";"Двигатель Mercedes, 2000 (22783520)";22783520;;;1,6;бензин;;;Двигатель;;250.0000;1;2000;dvigatel-mercedes-2000-22783520;;;;https://d4.by/mercedes/w168/dvigatel-mercedes-2000-22783520
124;Volkswagen|Golf;"Бампер передний Volkswagen, 1999 (22783701)";22783701;;;;;;;"Бампер передний";;70.0000;1;1999;bamper-perednij-volkswagen-1999-22783701;;;;https://d4.by/volkswagen/golf/bamper-perednij-volkswagen-1999-22783701
125;Peugeot|807;"Амортизатор передний левый Peugeot, 2002 (22783761)";22783761;;;2;дизель;HDi;;"Амортизатор передний левый";;32.5000;1;2002;amortizator-perednij-levyj-peugeot-2002-22783761;;;;https://d4.by/peugeot/807/amortizator-perednij-levyj-peugeot-2002-22783761
126;"Mercedes|C W203";"Турбина Mercedes, 2004 (22783861)";22783861;;;;;;;Турбина;;220.0000;1;2004;turbina-mercedes-2004-22783861;;;;https://d4.by/mercedes/c-w203/turbina-mercedes-2004-22783861
127;Opel|Omega;"Стартер Opel, 2000 (22799380)";22799380;;;2,2;дизель;DTi;;Стартер;;15.0000;1;2000;starter-opel-2000-22799380;;;;https://d4.by/opel/omega/starter-opel-2000-22799380
128;Opel|Astra;"Стартер Opel, 2000 (22799388)";22799388;;;1,7;дизель;;;Стартер;;45.0000;1;2000;starter-opel-2000-22799388;;;;https://d4.by/opel/astra/starter-opel-2000-22799388
129;Ford|Focus;"Генератор Ford, 2001 (22799421)";22799421;;;1,8;дизель;TDDi;;Генератор;;50.0000;1;2001;generator-ford-2001-22799421;;;;https://d4.by/ford/focus/generator-ford-2001-22799421
130;Ford|S-Max;"Генератор Ford, 2008 (22799437)";22799437;;;1,8;дизель;TDCi;;Генератор;;60.0000;1;2008;generator-ford-2008-22799437;;;;https://d4.by/ford/s-max/generator-ford-2008-22799437
131;"Chrysler|Grand Voyager";"Генератор Chrysler, 2003 (22799442)";22799442;;;2,5;дизель;CRDi;;Генератор;;40.0000;1;2003;generator-chrysler-2003-22799442;;;;https://d4.by/chrysler/grand-voyager/generator-chrysler-2003-22799442
132;Opel|Astra;"Стартер Opel, 2000 (22799549)";22799549;;;1,7;дизель;DT;;Стартер;;15.0000;1;2000;starter-opel-2000-22799549;;;;https://d4.by/opel/astra/starter-opel-2000-22799549
133;Volkswagen|Golf;"Фонарь задний левый Volkswagen, 1996 (22806459)";22806459;;;;;;;"Фонарь задний левый";;15.0000;1;1996;fonar-zadnij-levyj-volkswagen-1996-22806459;;;;https://d4.by/volkswagen/golf/fonar-zadnij-levyj-volkswagen-1996-22806459
134;Peugeot|807;"Стартер Peugeot, 2003 (22811751)";22811751;;;2,2;дизель;HDi;;Стартер;;35.0000;1;2003;starter-peugeot-2003-22811751;;;;https://d4.by/peugeot/807/starter-peugeot-2003-22811751
135;Ford|Mondeo;"ТНВД Ford, 2001 (22811788)";22811788;;;2;дизель;TDDi;;ТНВД;;150.0000;1;2001;tnvd-ford-2001-22811788;;;;https://d4.by/ford/mondeo/tnvd-ford-2001-22811788
136;;"ТНВД Ford, 2000 (007)";7;;;;;;;;;75.0000;1;0;tnvd-ford-2000-007;;;;https://d4.by/index.php?route=product/product&product_id=136
137;Volkswagen|Transporter;"Фонарь задний правый Volkswagen, 2006 (22811988)";22811988;;;;;;;"Фонарь задний правый";;40.0000;1;2006;fonar-zadnij-pravyj-volkswagen-2006-22811988;;;;https://d4.by/volkswagen/transporter/fonar-zadnij-pravyj-volkswagen-2006-22811988
138;"Renault|Grand Espace";"Коленвал Renault, 2004 (22812001)";22812001;;;2,2;дизель;DCi;;Коленвал;;170.0000;1;2004;kolenval-renault-2004-22812001;;;;https://d4.by/renault/grand-espace/kolenval-renault-2004-22812001
